City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
146,Broken Hill,AU,-31.95,141.4333,65.14,51,0,10.02,clear sky
147,Bandarbeyla,SO,9.4942,50.8122,81.09,78,100,17.54,overcast clouds
148,Bassano,CA,50.7834,-112.4685,56.64,35,49,3.91,scattered clouds
149,Pevek,RU,69.7008,170.3133,36.52,91,80,6.6,broken clouds
150,Nargana,PA,9.4428,-78.5906,81.21,84,91,5.95,overcast clouds
151,Puerto Escondido,MX,15.85,-97.0667,80.87,74,4,8.03,clear sky
152,Sobolevo,RU,54.4299,31.8996,38.25,80,12,4.32,few clouds
153,Hovd,MN,48.0056,91.6419,76.41,11,17,5.68,few clouds
154,Faanui,PF,-16.4833,-151.75,81.39,68,10,14.2,clear sky
155,Pontianak,ID,-0.0333,109.3333,87.78,66,40,8.05,scattered clouds
156,Komsomolskiy,UZ,40.4272,71.7189,59.72,58,100,6.91,overcast clouds
157,Khuzdar,PK,27.7384,66.6434,76.53,8,0,17.58,clear sky
158,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,97,100,3.53,light rain
159,Ambovombe,MG,-25.1667,46.0833,63.46,69,2,4.12,clear sky
160,Beya,RU,53.0533,90.9139,59.95,77,87,19.22,overcast clouds
161,Kaitangata,NZ,-46.2817,169.8464,51.37,70,100,17.16,overcast clouds
162,Zaragoza,ES,41.6561,-0.8773,69.03,65,20,10.36,few clouds
163,Suicheng,CN,33.8963,117.9331,83.98,29,0,9.22,clear sky
164,Cape Town,ZA,-33.9258,18.4232,61.38,89,0,5.75,clear sky
165,Borzya,RU,50.3833,116.5167,62.73,38,99,17.27,moderate rain
166,Riyadh,SA,24.6877,46.7219,82.54,9,0,7.76,clear sky
167,Aranos,NA,-24.1333,19.1167,46.63,72,38,7.54,scattered clouds
168,Alofi,NU,-19.0595,-169.9187,80.49,74,75,9.22,broken clouds
169,Puerto Madero,MX,14.7208,-92.4215,79.0,100,75,0.0,broken clouds
170,Qasigiannguit,GL,68.8193,-51.1922,32.25,96,100,4.65,overcast clouds
171,Sitka,US,57.0531,-135.33,53.49,71,100,3.44,overcast clouds
172,Hambantota,LK,6.1241,81.1185,83.71,73,94,19.48,overcast clouds
173,Lima,PE,-12.0432,-77.0282,62.91,82,100,4.61,mist
174,Yasnyy,RU,51.0333,59.8742,53.24,81,100,29.21,light rain
175,Acapulco,MX,16.8634,-99.8901,80.42,78,100,5.75,overcast clouds
176,Morrope,PE,-6.5417,-80.0111,64.69,82,4,14.36,clear sky
177,Brae,GB,60.3964,-1.353,50.07,98,100,9.15,moderate rain
178,Avarua,CK,-21.2078,-159.775,82.45,78,40,6.91,scattered clouds
179,Klaksvik,FO,62.2266,-6.589,47.32,85,53,9.28,broken clouds
180,Provideniya,RU,64.3833,-173.3,53.71,58,0,11.18,clear sky
181,Cantagalo,BR,-21.9811,-42.3681,54.97,93,0,3.38,clear sky
182,Coahuayana,MX,18.7333,-103.6833,73.96,87,30,1.83,scattered clouds
183,Natal,BR,-5.795,-35.2094,75.85,94,75,11.5,light rain
184,Chunoyar,RU,57.4467,97.3217,62.8,45,0,4.56,clear sky
185,Pisco,PE,-13.7,-76.2167,63.01,88,100,3.44,mist
186,Patacamaya,BO,-17.2333,-67.9167,38.93,28,0,2.48,clear sky
187,Warrnambool,AU,-38.3833,142.4833,59.81,55,0,3.38,clear sky
188,San Andres,CO,12.5847,-81.7006,82.42,78,75,10.36,broken clouds
189,Araouane,ML,18.9048,-3.5265,82.26,25,0,7.81,clear sky
190,Kruisfontein,ZA,-34.0033,24.7314,54.19,75,89,4.03,overcast clouds
191,Inta,RU,66.0317,60.1659,37.13,88,100,22.75,light rain
192,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,4.61,clear sky
193,Northam,GB,51.0333,-4.2167,54.39,92,68,7.16,broken clouds
194,Kaka,TM,37.3482,59.6143,68.5,32,0,15.23,clear sky
195,Narsaq,GL,60.9167,-46.05,37.62,92,98,6.98,overcast clouds
196,Barentu,ER,15.1139,37.5928,81.03,37,7,4.47,clear sky
197,Morro Bay,US,35.3658,-120.8499,64.94,85,16,6.13,few clouds
198,Namikupa,TZ,-10.8333,39.6,65.3,98,20,2.24,few clouds
199,Vitry-Le-Francois,FR,48.7333,4.5833,59.41,95,96,10.38,overcast clouds
200,Chokurdakh,RU,70.6333,147.9167,33.53,100,100,7.14,overcast clouds
201,Tiarei,PF,-17.5333,-149.3333,84.22,75,12,14.14,few clouds
202,Ust-Kuyga,RU,70.0167,135.6,36.95,88,58,2.64,broken clouds
203,Honningsvag,NO,70.9821,25.9704,42.55,75,8,13.8,clear sky
204,Hervey Bay,AU,-25.2986,152.8535,74.01,73,100,7.0,overcast clouds
205,Kodiak,US,57.79,-152.4072,47.71,87,100,16.11,light rain
206,Gat,IL,31.61,34.7642,66.4,100,4,10.18,clear sky
207,Peleduy,RU,59.6289,112.7406,61.7,56,89,4.0,overcast clouds
208,Adrar,MR,20.5022,-10.0711,86.76,18,80,7.36,broken clouds
209,Upernavik,GL,72.7868,-56.1549,31.87,82,99,16.91,overcast clouds
210,Payson,US,40.0444,-111.7321,55.38,41,0,31.07,clear sky
211,Chubbuck,US,42.9208,-112.4661,44.15,71,40,6.91,scattered clouds
212,Lasa,IT,46.6166,10.7002,59.88,73,92,2.37,overcast clouds
213,Orlovo,RU,51.754,39.5873,41.29,90,8,9.95,clear sky
214,Mangan,IN,27.5167,88.5333,79.79,51,7,5.03,clear sky
215,Codrington,AU,-38.2667,141.9667,62.47,49,0,2.48,clear sky
216,Santa Maria Do Suacui,BR,-18.1903,-42.4142,54.36,87,0,1.32,clear sky
217,Jiayuguan,CN,39.8167,98.3,76.8,18,35,17.76,scattered clouds
218,Istiaia,GR,38.9558,23.1528,71.55,59,6,4.59,clear sky
219,Manzanillo,CU,20.3433,-77.1167,76.39,84,98,11.7,overcast clouds
