City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Cabo San Lucas,MX,2022-05-21 16:25:07,22.8909,-109.9124,83.61,60,0,5.75
112,Bozdar,PK,2022-05-21 16:25:07,27.1828,68.636,102.24,3,0,8.59
113,Lebu,CL,2022-05-21 16:25:08,-37.6167,-73.65,55.35,79,80,7.52
114,Georgetown,MY,2022-05-21 16:25:08,5.4112,100.3354,82.35,88,20,4.61
115,Pasaje,EC,2022-05-21 16:25:08,-3.3333,-79.8167,85.46,64,73,5.44
116,Arraial Do Cabo,BR,2022-05-21 16:25:08,-22.9661,-42.0278,75.06,64,40,9.22
117,Cabedelo,BR,2022-05-21 16:25:08,-6.9811,-34.8339,86.67,73,31,12.95
118,Bilma,NE,2022-05-21 16:25:09,18.6853,12.9164,101.1,8,37,4.61
119,Kuytun,RU,2022-05-21 16:25:09,54.3419,101.5036,55.2,68,100,3.76
120,Qaanaaq,GL,2022-05-21 16:25:09,77.484,-69.3632,19.04,87,100,3.85
121,Ihosy,MG,2022-05-21 16:25:09,-22.4,46.1167,63.34,80,37,5.53
122,Clyde River,CA,2022-05-21 16:25:10,70.4692,-68.5914,23.23,86,100,8.05
123,Sao Joao Da Barra,BR,2022-05-21 16:25:10,-21.6403,-41.0511,78.89,53,1,4.47
124,Lavrentiya,RU,2022-05-21 16:25:10,65.5833,-171.0,34.59,82,98,7.31
125,Chifeng,CN,2022-05-21 16:25:11,42.2683,118.9636,67.84,24,6,5.12
126,Vila,PT,2022-05-21 16:25:11,42.0304,-8.1588,72.7,47,100,4.97
127,Mahebourg,MU,2022-05-21 16:25:11,-20.4081,57.7,75.49,78,40,11.5
128,Nuuk,GL,2022-05-21 16:25:11,64.1835,-51.7216,38.01,93,75,3.44
129,Registro,BR,2022-05-21 16:25:12,-24.4875,-47.8436,75.15,38,0,0.87
130,Castro,BR,2022-05-21 16:25:12,-24.7911,-50.0119,63.54,39,3,2.35
131,Mareeba,AU,2022-05-21 16:25:12,-17.0,145.4333,70.52,90,0,2.55
132,Mantua,IT,2022-05-21 16:25:12,45.1667,10.7833,89.1,51,39,3.0
133,Vilhena,BR,2022-05-21 16:25:13,-12.7406,-60.1458,80.82,36,0,6.91
134,Constitucion,CL,2022-05-21 16:25:13,-35.3333,-72.4167,58.89,53,43,6.78
135,Chara,RU,2022-05-21 16:25:13,56.9064,118.2631,47.93,65,100,1.1
136,Imeni Poliny Osipenko,RU,2022-05-21 16:25:13,52.4201,136.4853,38.08,92,100,13.82
137,Haines Junction,CA,2022-05-21 16:26:14,60.7522,-137.5108,46.04,54,6,2.01
138,Genhe,CN,2022-05-21 16:26:14,50.7833,121.5167,42.76,76,54,1.39
139,Chekhov,RU,2022-05-21 16:26:14,55.1431,37.4711,57.15,61,97,6.06
140,Zhanakorgan,KZ,2022-05-21 16:26:14,43.9098,67.2495,62.74,66,75,23.64
141,Kodiak,US,2022-05-21 16:26:15,57.79,-152.4072,45.91,81,100,21.85
142,Dikson,RU,2022-05-21 16:26:15,73.5069,80.5464,27.9,92,100,8.95
143,Arlit,NE,2022-05-21 16:26:15,18.7369,7.3853,99.19,13,41,22.53
144,Konstancin-Jeziorna,PL,2022-05-21 16:26:15,52.0938,21.1176,64.15,64,20,20.71
145,Temerloh,MY,2022-05-21 16:26:16,3.4483,102.4176,76.75,92,52,0.85
146,Vaini,TO,2022-05-21 16:26:16,-21.2,-175.2,71.76,94,40,3.44
147,Honningsvag,NO,2022-05-21 16:26:16,70.9821,25.9704,44.35,76,100,14.97
148,Evans,US,2022-05-21 16:23:16,33.5337,-82.1307,89.26,56,20,4.61
149,Mar Del Plata,AR,2022-05-21 16:26:17,-38.0023,-57.5575,65.95,53,0,6.91
150,Billings,US,2022-05-21 16:23:02,45.7833,-108.5007,47.28,49,75,6.91
151,Kargasok,RU,2022-05-21 16:26:17,59.0556,80.8572,48.58,79,100,2.42
152,Srednekolymsk,RU,2022-05-21 16:26:17,67.45,153.6833,49.6,52,89,4.36
153,Vila Franca Do Campo,PT,2022-05-21 16:26:17,37.7167,-25.4333,66.61,94,99,5.91
154,Bubaque,GW,2022-05-21 16:26:18,11.2833,-15.8333,78.82,78,87,13.38
155,Dudinka,RU,2022-05-21 16:26:18,69.4058,86.1778,43.63,99,100,5.55
156,Provideniya,RU,2022-05-21 16:26:18,64.3833,-173.3,41.85,67,83,12.03
157,Bandarbeyla,SO,2022-05-21 16:26:18,9.4942,50.8122,80.89,82,91,25.05
158,Alofi,NU,2022-05-21 16:26:19,-19.0595,-169.9187,66.09,100,71,1.14
159,Port Moresby,PG,2022-05-21 16:25:20,-9.4431,147.1797,76.42,94,40,2.3
160,Cherskiy,RU,2022-05-21 16:26:19,68.75,161.3,47.8,63,94,10.13
161,La Palma,US,2022-05-21 16:26:19,33.8464,-118.0467,68.18,70,75,6.91
162,Anadyr,RU,2022-05-21 16:26:20,64.75,177.4833,30.7,92,96,6.71
163,Talnakh,RU,2022-05-21 16:26:20,69.4865,88.3972,43.21,100,100,4.56
164,Praia Da Vitoria,PT,2022-05-21 16:26:20,38.7333,-27.0667,70.05,83,75,0.89
165,Sitka,US,2022-05-21 16:26:20,57.0531,-135.33,51.69,66,0,4.61
166,Nanortalik,GL,2022-05-21 16:26:21,60.1432,-45.2371,39.88,80,16,7.11
167,Kajaani,FI,2022-05-21 16:26:21,64.2273,27.7285,57.25,33,0,5.75
168,Katsuura,JP,2022-05-21 16:26:21,35.1333,140.3,60.82,93,100,9.71
169,Sabha,LY,2022-05-21 16:26:21,27.0377,14.4283,83.77,5,0,10.74
170,Singapore,SG,2022-05-21 16:24:16,1.2897,103.8501,82.44,88,75,2.3
171,Okhotsk,RU,2022-05-21 16:26:22,59.3833,143.3,33.82,99,100,3.67
172,Souillac,MU,2022-05-21 16:26:22,-20.5167,57.5167,75.58,78,40,11.5
173,Darhan,MN,2022-05-21 16:26:22,49.4867,105.9228,57.69,72,99,11.88
174,Puerto Escondido,MX,2022-05-21 16:21:31,15.85,-97.0667,86.83,79,0,8.05
175,Barrow,US,2022-05-21 16:26:22,71.2906,-156.7887,21.22,93,100,10.36
176,Grindavik,IS,2022-05-21 16:26:23,63.8424,-22.4338,55.35,66,20,25.32
177,Mancora,PE,2022-05-21 16:26:23,-4.1078,-81.0475,77.36,72,45,7.96
178,Langres,FR,2022-05-21 16:26:23,47.8333,5.3333,67.68,64,61,4.65
179,Semey,KZ,2022-05-21 16:26:23,50.4111,80.2275,72.0,37,100,9.55
180,Taybad,IR,2022-05-21 16:26:24,34.74,60.7756,62.78,53,0,26.71
181,Ponta Delgada,PT,2022-05-21 16:26:24,37.7333,-25.6667,66.92,94,75,10.36
182,Acapulco,MX,2022-05-21 16:26:06,16.8634,-99.8901,82.22,65,40,4.61
183,Lorengau,PG,2022-05-21 16:26:24,-2.0226,147.2712,80.98,82,100,7.61
184,Dalmatovo,RU,2022-05-21 16:26:25,56.26,62.9362,44.51,88,100,11.1
185,Auburn,US,2022-05-21 16:26:25,47.3073,-122.2284,59.23,75,20,4.61
186,Hofn,IS,2022-05-21 16:27:25,64.2539,-15.2082,49.78,82,96,10.4
187,Kaohsiung,TW,2022-05-21 16:26:57,22.6163,120.3133,80.04,85,75,3.44
188,Brae,GB,2022-05-21 16:27:25,60.3964,-1.353,53.17,72,60,15.55
189,Sechura,PE,2022-05-21 16:27:26,-5.5569,-80.8222,74.89,62,7,8.08
190,Torbay,CA,2022-05-21 16:27:26,47.6666,-52.7314,63.37,31,20,5.75
191,Klaksvik,FO,2022-05-21 16:27:26,62.2266,-6.589,50.92,87,95,15.77
192,Saldanha,ZA,2022-05-21 16:27:26,-33.0117,17.9442,59.05,74,16,10.76
193,Ketchikan,US,2022-05-21 16:27:27,55.3422,-131.6461,52.27,71,0,6.91
194,Sindal,DK,2022-05-21 16:27:27,57.4712,10.2031,56.93,70,93,11.79
195,Leningradskiy,RU,2022-05-21 16:27:27,69.3833,178.4167,30.22,98,97,9.15
196,Yulara,AU,2022-05-21 16:27:27,-25.2406,130.9889,54.34,49,8,9.4
197,Weligama,LK,2022-05-21 16:27:28,5.9667,80.4167,79.3,89,96,8.57
198,Berlevag,NO,2022-05-21 16:27:29,70.8578,29.0864,41.0,87,100,11.5
199,Dzheyrakh,RU,2022-05-21 16:27:29,42.8228,44.6756,58.39,85,50,6.69
200,Goderich,CA,2022-05-21 16:27:29,43.7501,-81.7165,55.72,88,100,4.61
201,Saint-Georges,GD,2022-05-21 16:23:00,12.0564,-61.7485,87.48,62,40,20.71
202,Buraydah,SA,2022-05-21 16:27:29,26.326,43.975,99.05,9,0,10.04
203,Fort-Shevchenko,KZ,2022-05-21 16:27:30,44.5086,50.263,58.33,82,100,6.46
204,Keskin,TR,2022-05-21 16:27:30,39.6731,33.6136,65.19,40,0,4.85
205,Dingle,PH,2022-05-21 16:27:30,10.9995,122.6711,78.33,85,72,3.02
206,Bex,CH,2022-05-21 16:27:30,46.2521,7.0114,84.9,49,88,3.0
207,Ahipara,NZ,2022-05-21 16:27:31,-35.1667,173.1667,59.56,77,74,12.1
208,Vitim,RU,2022-05-21 16:27:31,59.4511,112.5578,49.08,81,100,3.83
209,Broome,US,2022-05-21 16:27:31,42.2506,-75.833,87.67,59,0,8.05
210,Evensk,RU,2022-05-21 16:27:31,61.95,159.2333,37.89,96,100,5.19
211,Hasaki,JP,2022-05-21 16:27:32,35.7333,140.8333,59.4,88,100,8.84
212,Archidona,ES,2022-05-21 16:27:32,37.0965,-4.3887,88.41,24,98,10.02
213,San Rafael,AR,2022-05-21 16:27:32,-34.6177,-68.3301,62.69,22,30,5.97
214,Vardo,NO,2022-05-21 16:27:32,70.3705,31.1107,39.18,81,100,23.02
215,Tuatapere,NZ,2022-05-21 16:27:33,-46.1333,167.6833,46.78,92,100,13.76
216,Erzin,TR,2022-05-21 16:27:33,36.9559,36.2,76.55,37,50,1.61
217,Tocache,PE,2022-05-21 16:27:33,-8.1842,-76.5125,83.35,57,30,0.94
218,Rincon,US,2022-05-21 16:27:33,32.296,-81.2354,88.86,62,75,8.05
219,Floro,NO,2022-05-21 16:27:34,61.5996,5.0328,57.24,71,75,6.91
220,Yanggu,CN,2022-05-21 16:27:34,36.1106,115.7753,75.51,31,37,12.57
221,Manzhouli,CN,2022-05-21 16:27:34,49.6,117.4333,59.05,26,49,6.38
222,Kieta,PG,2022-05-21 16:27:34,-6.2167,155.6333,78.42,84,38,1.5
223,Soyo,AO,2022-05-21 16:27:35,-6.1349,12.3689,78.4,71,45,10.27
224,El Tocuyo,VE,2022-05-21 16:27:35,9.7873,-69.7937,89.91,29,2,10.25
225,Severo-Kurilsk,RU,2022-05-21 16:27:32,50.6789,156.125,41.25,98,100,2.19
226,Iwanai,JP,2022-05-21 16:27:35,42.9744,140.5089,54.37,77,46,6.96
227,Barra Patuca,HN,2022-05-21 16:27:35,15.8,-84.2833,81.43,85,100,13.82
228,Warri,NG,2022-05-21 16:27:36,5.5167,5.75,80.22,83,100,5.12
229,Ust-Kuyga,RU,2022-05-21 16:27:36,70.0167,135.6,32.54,79,100,2.26
230,Abu Zabad,SD,2022-05-21 16:27:36,12.35,29.25,98.44,19,100,7.72
231,Khatanga,RU,2022-05-21 16:27:36,71.9667,102.5,37.42,94,100,7.72
232,Mazsalaca,LV,2022-05-21 16:28:37,57.8633,25.0547,47.16,88,100,8.19
233,Broken Hill,AU,2022-05-21 16:28:37,-31.95,141.4333,54.23,93,100,11.97
234,Gat,IL,2022-05-21 16:28:04,31.61,34.7642,80.4,35,100,9.01
235,Axim,GH,2022-05-21 16:28:37,4.8699,-2.2405,77.56,89,100,10.85
236,Touros,BR,2022-05-21 16:28:37,-5.1989,-35.4608,85.84,62,41,13.49
237,Nishihara,JP,2022-05-21 16:28:38,26.1842,127.7558,72.68,83,75,5.75
238,Hamilton,US,2022-05-21 16:25:30,39.1834,-84.5333,85.6,70,0,14.97
239,Zaltan,LY,2022-05-21 16:28:38,32.947,11.8665,73.51,35,0,11.61
240,Awjilah,LY,2022-05-21 16:28:38,29.1081,21.2869,77.86,23,0,20.33
241,Teykovo,RU,2022-05-21 16:28:38,56.858,40.5369,47.16,54,76,4.23
242,Pizhma,RU,2022-05-21 16:28:39,57.8642,47.1171,37.89,85,100,6.4
243,The Valley,AI,2022-05-21 16:26:21,18.217,-63.0578,87.66,65,20,12.66
244,Tselinnoye,RU,2022-05-21 16:28:39,53.0833,85.6667,62.46,55,1,8.25
245,Batavia,US,2022-05-21 16:28:39,41.85,-88.3126,60.76,83,100,11.5
246,Trybukhivtsi,UA,2022-05-21 16:28:39,49.0436,25.4581,63.75,60,29,21.85
247,Hualmay,PE,2022-05-21 16:28:40,-11.0964,-77.6139,69.08,75,37,8.61
248,Kruisfontein,ZA,2022-05-21 16:28:40,-34.0033,24.7314,56.88,82,23,4.23
249,Bauchi,NG,2022-05-21 16:28:40,10.5,10.0,97.77,21,52,8.72
250,Ballitoville,ZA,2022-05-21 16:28:40,-29.539,31.2144,61.16,94,100,19.57
251,Tiznit,MA,2022-05-21 16:28:41,29.5833,-9.5,78.44,43,33,10.67
252,Saint John,CA,2022-05-21 16:26:16,45.2727,-66.0677,58.23,77,100,9.22
253,Saint-Augustin,CA,2022-05-21 16:28:41,51.226,-58.6502,50.99,53,100,16.6
254,Coquimbo,CL,2022-05-21 16:28:41,-29.9533,-71.3436,56.93,94,75,13.8
255,Salisbury,GB,2022-05-21 16:26:19,51.0693,-1.7957,65.8,51,20,6.91
256,Bairnsdale,AU,2022-05-21 16:28:42,-37.8333,147.6167,44.73,94,2,3.47
257,Chateau-Gontier,FR,2022-05-21 16:28:42,47.8333,-0.7,78.96,47,10,4.52
258,Mendi,PG,2022-05-21 16:28:42,-6.1761,143.6513,55.2,98,90,2.19
259,Bilibino,RU,2022-05-21 16:28:42,68.0546,166.4372,37.92,86,100,1.88
260,Geraldton,AU,2022-05-21 16:28:43,-28.7667,114.6,57.61,88,40,9.22
261,Fuling,CN,2022-05-21 16:28:43,29.7022,107.3919,66.38,90,100,1.95
262,Luderitz,NA,2022-05-21 16:28:43,-26.6481,15.1594,61.56,54,21,25.66
263,Sao Filipe,CV,2022-05-21 16:28:43,14.8961,-24.4956,72.95,78,71,12.17
264,Kemijarvi,FI,2022-05-21 16:28:44,66.7131,27.4306,48.22,89,100,3.49
265,Mubi,NG,2022-05-21 16:28:44,10.2676,13.2644,94.87,28,82,8.75
266,Fortuna,US,2022-05-21 16:28:44,40.5982,-124.1573,54.93,85,75,5.75
267,Caravelas,BR,2022-05-21 16:28:44,-17.7125,-39.2481,77.58,54,1,8.34
268,Kichera,RU,2022-05-21 16:28:45,55.9375,110.0997,46.85,98,100,3.94
269,Port Lincoln,AU,2022-05-21 16:28:45,-34.7333,135.8667,58.78,82,0,13.78
270,Tabora,TZ,2022-05-21 16:28:45,-5.0167,32.8,74.23,43,100,4.23
271,Baruun-Urt,MN,2022-05-21 16:28:45,46.6806,113.2792,62.08,22,6,8.48
272,Gizo,SB,2022-05-21 16:28:46,-8.103,156.8419,81.86,75,13,6.46
273,Hobyo,SO,2022-05-21 16:28:46,5.3505,48.5268,81.36,76,76,26.46
274,Taozhuang,CN,2022-05-21 16:28:46,34.85,117.3333,71.31,40,100,4.18
275,Selvazzano Dentro,IT,2022-05-21 16:28:46,45.3914,11.8005,86.32,47,78,1.99
276,Alyangula,AU,2022-05-21 16:28:47,-13.8483,136.4192,77.61,76,0,10.04
277,Cidreira,BR,2022-05-21 16:28:47,-30.1811,-50.2056,63.23,55,0,5.21
278,Gorin,RU,2022-05-21 16:28:47,51.1983,136.6669,40.51,96,100,9.17
279,Ardmore,US,2022-05-21 16:29:47,34.1743,-97.1436,62.38,87,100,12.66
280,Ishioka,JP,2022-05-21 16:29:00,36.1833,140.2667,59.43,100,75,3.44
281,Ajdabiya,LY,2022-05-21 16:29:48,30.7554,20.2263,69.71,55,0,18.07
282,Hithadhoo,MV,2022-05-21 16:27:24,-0.6,73.0833,83.79,68,92,8.41
283,Saint-Joseph,RE,2022-05-21 16:29:48,-21.3667,55.6167,73.78,81,48,12.39
284,Waipawa,NZ,2022-05-21 16:29:48,-41.4122,175.5153,47.12,85,99,4.68
285,Kavaratti,IN,2022-05-21 16:29:48,10.5669,72.642,83.32,79,100,17.31
286,Vinh Long,VN,2022-05-21 16:29:49,10.25,105.9667,76.98,86,96,5.79
287,Taoudenni,ML,2022-05-21 16:29:49,22.6783,-3.9836,109.6,4,1,16.31
288,Lasa,IT,2022-05-21 16:29:49,46.6166,10.7002,80.69,36,58,6.15
289,Labuhan,ID,2022-05-21 16:29:49,-6.8844,112.2051,79.63,81,97,6.29
290,Arbagar,RU,2022-05-21 16:29:50,51.9438,116.2805,58.55,34,73,4.56
291,Kouango,CF,2022-05-21 16:29:50,4.9934,19.9619,81.34,70,100,3.6
292,Umm Lajj,SA,2022-05-21 16:29:50,25.0213,37.2685,84.72,54,0,6.71
293,Coripata,BO,2022-05-21 16:29:50,-16.3,-67.6,75.42,41,77,4.61
294,Upernavik,GL,2022-05-21 16:29:51,72.7868,-56.1549,27.34,81,100,11.56
295,Aguie,NE,2022-05-21 16:29:51,13.506,7.7786,103.3,10,100,11.27
